user_id,cred,indmoney,jupiter,amazon_prime,apple_music,flipkart,meesho,jar,phonepe,groww,ludo_king,moj,sharechat,kreditbee,cashbean,tier_label
U0053,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,Tier3
U0054,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,Tier3
U0055,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,Tier2
U0056,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,Tier3
U0057,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,Tier1
U0058,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,Tier1
U0059,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,Tier1
U0060,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Tier2
U0061,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Tier2
U0062,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Tier1
U0063,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0064,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,Tier2
U0065,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,Tier1
U0066,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,Tier2
U0067,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,Tier1
U0068,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,Tier3
U0069,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Tier1
U0070,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Tier3
U0071,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,Tier3
U0072,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0073,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,Tier1
U0074,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,Tier3
U0075,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,Tier3
U0076,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0077,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Tier3
U0078,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,Tier1
U0079,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Tier2
U0080,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,Tier1
U0081,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0082,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,Tier2
U0083,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,Tier2
U0084,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,Tier1
U0085,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Tier2
U0086,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,Tier2
U0087,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,Tier3
U0088,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,Tier2
U0089,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,Tier3
U0090,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,Tier2
U0091,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,Tier1
U0092,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0093,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,Tier3
U0094,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,Tier2
U0095,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,Tier3
U0096,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,Tier2
U0097,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,Tier2
U0098,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,Tier2
U0099,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Tier1
U0100,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Tier1
U0101,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,Tier1
U0102,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Tier2
U0103,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,Tier2
U0104,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Tier2
U0105,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,Tier3
U0106,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tier1
U0107,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,Tier2
U0108,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,Tier3
U0109,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,Tier1
U0110,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0111,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Tier1
U0112,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,Tier1
U0113,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,Tier3
U0114,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,Tier3
U0115,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,Tier2
U0116,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,Tier3
U0117,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Tier3
U0118,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Tier1
U0119,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,Tier3
U0120,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,Tier2
U0121,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,Tier3
U0122,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,Tier3
U0123,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,Tier2
U0124,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,Tier1
U0125,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,Tier1
U0126,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,Tier2
U0127,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,Tier3
U0128,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Tier3
U0129,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,Tier1
U0130,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,Tier2
U0131,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,Tier2
U0132,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,Tier1
U0133,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,Tier1
U0134,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,Tier2
U0135,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Tier3
U0136,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,Tier2
U0137,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,Tier2
U0138,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Tier3
U0139,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Tier2
U0140,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,Tier3
U0141,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Tier3
U0142,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,Tier1
U0143,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,Tier2
U0144,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,Tier2
U0145,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0146,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,Tier1
U0147,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,Tier2
U0148,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,Tier2
U0149,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0150,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,Tier1
U0151,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,Tier3
U0152,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0153,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,Tier1
U0154,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,Tier2
U0155,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,Tier3
U0156,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,Tier1
U0157,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,Tier2
U0158,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,Tier3
U0159,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0160,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,Tier3
U0161,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,Tier2
U0162,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,Tier2
U0163,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Tier2
U0164,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,Tier2
U0165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier1
U0166,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,Tier3
U0167,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,Tier2
U0168,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,Tier1
U0169,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,Tier1
U0170,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,Tier2
U0171,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,Tier2
U0172,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Tier1
U0173,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,Tier2
U0174,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,Tier1
U0175,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,Tier2
U0176,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0177,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,Tier2
U0178,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Tier2
U0179,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Tier3
U0180,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,Tier1
U0181,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,Tier2
U0182,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,Tier1
U0183,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,Tier3
U0184,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Tier3
U0185,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,Tier1
U0186,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,Tier2
U0187,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Tier3
U0188,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,Tier2
U0189,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Tier2
U0190,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,Tier1
U0191,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0192,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,Tier3
U0193,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0194,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,Tier2
U0195,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,Tier2
U0196,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,Tier2
U0197,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Tier3
U0198,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Tier3
U0199,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Tier3
U0200,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,Tier3
U0201,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Tier2
U0202,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,Tier1
U0203,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,Tier1
U0204,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,Tier3
U0205,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Tier2
U0206,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Tier1
U0207,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,Tier1
U0208,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,Tier2
U0209,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,Tier1
U0210,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,Tier1
U0211,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,Tier2
U0212,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,Tier2
U0213,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,Tier2
U0214,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Tier1
U0215,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,Tier3
U0216,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Tier1
U0217,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,Tier2
U0218,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,Tier3
U0219,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,Tier2
U0220,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,Tier3
U0221,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,Tier2
U0222,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,Tier2
U0223,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Tier1
U0224,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Tier2
U0225,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Tier1
U0226,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,Tier1
U0227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Tier3
U0228,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,Tier2
U0229,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,Tier3
U0230,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,Tier2
U0231,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,Tier3
U0232,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,Tier2
U0233,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Tier2
U0234,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,Tier2
U0235,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,Tier1
U0236,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,Tier3
U0237,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,Tier1
U0238,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Tier1
U0239,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,Tier2
U0240,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,Tier1
U0241,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,Tier3
U0242,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Tier3
U0243,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,Tier3
U0244,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,Tier2
U0245,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,Tier1
U0246,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,Tier3
U0247,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,Tier2
U0248,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,Tier3
U0249,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,Tier3
U0250,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,Tier3
U0251,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,Tier1
U0252,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,Tier2
U0253,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,Tier3
U0254,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,Tier2
U0255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier1
U0256,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,Tier2
U0257,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,Tier3
U0258,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,Tier2
U0259,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,Tier2
U0260,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,Tier1
U0261,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,Tier2
U0262,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,Tier3
U0263,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,Tier1
U0264,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,Tier2
U0265,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,Tier3
U0266,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,Tier3
U0267,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,Tier2
U0268,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,Tier3
U0269,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,Tier2
U0270,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,Tier1
U0271,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Tier3
U0272,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,Tier3
U0273,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Tier3
U0274,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,Tier3
U0275,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,Tier2
U0276,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Tier2
U0277,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,Tier3
U0278,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Tier2
U0279,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Tier3
U0280,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,Tier3
U0281,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,Tier3
U0282,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,Tier2
U0283,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,Tier2
U0284,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Tier1
U0285,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,Tier2
U0286,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,Tier1
U0287,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,Tier2
U0288,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,Tier2
U0289,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,Tier1
U0290,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,Tier2
U0291,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,Tier1
U0292,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,Tier1
U0293,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Tier3
U0294,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Tier2
U0295,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Tier1
U0296,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Tier2
U0297,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,Tier3
U0298,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Tier1
U0299,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Tier2
U0300,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Tier1
U0301,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Tier1
U0302,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,Tier2
U0303,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Tier2
U0304,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,Tier2
U0305,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,Tier3
U0306,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Tier3
U0307,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,Tier2
U0308,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,Tier2
U0309,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Tier3
U0310,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,Tier1
U0311,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Tier2
U0312,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Tier1
U0313,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,Tier1
U0314,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Tier3
U0315,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Tier3
U0316,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,Tier2
U0317,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Tier2
U0318,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Tier1
U0319,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,Tier1
U0320,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,Tier1
U0321,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,Tier2
U0322,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,Tier3
U0323,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,Tier2
U0324,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Tier1
U0325,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,Tier3
U0326,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0327,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Tier2
U0328,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,Tier2
U0329,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Tier2
U0330,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,Tier1
U0331,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,Tier2
U0332,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,Tier3
U0333,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Tier1
U0334,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Tier1
U0335,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,Tier1
U0336,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,Tier1
U0337,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,Tier3
U0338,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,Tier3
U0339,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,Tier2
U0340,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,Tier1
U0341,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Tier2
U0342,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,Tier2
U0343,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,Tier1
U0344,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,Tier2
U0345,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,Tier2
U0346,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,Tier2
U0347,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,Tier2
U0348,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,Tier1
U0349,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,Tier2
U0350,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,Tier2
U0351,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Tier2
U0352,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Tier3
U0353,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,Tier2
U0354,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,Tier1
